user_id,topic1_id,topic2_id,topic3_id,topic4_id,select_time,select_status
20182412,2022wl021,2022wl045,2022wl059,2022wl056,2021/11/16,2
20182414,2022wl061,2022wl040,2022wl033,2022wl022,2021/11/11,1
20182414,2022wl050,2022wl049,2022wl045,2022wl058,2021/11/16,2
20182415,2022wl023,2022wl040,2022wl022,2022wl039,2021/11/11,1
20182415,2022wl024,2022wl056,2022wl058,2022wl057,2021/11/16,2
20182416,2022wl051,2022wl039,2022wl006,2022wl017,2021/11/11,1
20182420,2022wl022,2022wl023,2022wl041,2022wl026,2021/11/11,1
20182420,2022wl024,2022wl043,2022wl037,2022wl021,2021/11/16,2
20182421,2022wl022,2022wl053,2022wl061,2022wl040,2021/11/11,1
20182421,2022wl007,2022wl057,2022wl044,2022wl009,2021/11/16,2
20182422,2022wl061,2022wl054,2022wl008,2022wl004,2021/11/11,1
